"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1592389","Activation of Matrix Metalloproteinases","6/200","25/9550",0.24,11.46,7.6587401671168,9.94321889689111e-06,0.00744747095377144,0.00654159137953362,"MMP7/TIMP1/MMP11/MMP3/MMP1/MMP10",6
"R-HSA-1442490","Collagen degradation","8/200","59/9550",0.135593220338983,6.47457627118644,6.16891333285094,2.85434615649675e-05,0.0106895263560803,0.00938929656742352,"MMP7/MMP11/MMP3/MMP1/COL11A1/MMP12/MMP10/COL1A1",8
"R-HSA-8868773","rRNA processing in the nucleus and cytosol","13/200","187/9550",0.0695187165775401,3.31951871657754,4.68488906886059,0.000148336930836243,0.0284729471179764,0.0250096155558081,"DDX21/RPL6/RPL29/RPL34/WDR12/DKC1/RPS15/RPP25/GNL3/RPLP0/RPS7/RPS21/RPS24",13
"R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","9/200","99/9550",0.0909090909090909,4.34090909090909,4.886878179604,0.000220143536388104,0.0284729471179764,0.0250096155558081,"RPL6/RPL29/RPL34/RPS15/TRIB3/RPLP0/RPS7/RPS21/RPS24",9
"R-HSA-72312","rRNA processing","13/200","197/9550",0.065989847715736,3.1510152284264,4.46158601345442,0.000248608779772012,0.0284729471179764,0.0250096155558081,"DDX21/RPL6/RPL29/RPL34/WDR12/DKC1/RPS15/RPP25/GNL3/RPLP0/RPS7/RPS21/RPS24",13
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","9/200","101/9550",0.0891089108910891,4.2549504950495,4.80950398792965,0.000256199399203828,0.0284729471179764,0.0250096155558081,"CXCL8/LCN2/TIMP1/MMP3/MMP1/CCND1/MYC/IL1A/NOS2",9
"R-HSA-6783783","Interleukin-10 signaling","6/200","44/9550",0.136363636363636,6.51136363636364,5.35888748590261,0.000284603421892828,0.0284729471179764,0.0250096155558081,"CXCL8/CXCL1/TIMP1/CXCL2/CCL20/IL1A",6
"R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","12/200","177/9550",0.0677966101694915,3.23728813559322,4.39397299341505,0.000336181556647428,0.0284729471179764,0.0250096155558081,"DDX21/RPL6/RPL29/RPL34/WDR12/RPS15/RPP25/GNL3/RPLP0/RPS7/RPS21/RPS24",12
"R-HSA-9825892","Regulation of MITF-M-dependent genes involved in cell cycle and proliferation","4/200","17/9550",0.235294117647059,11.2352941176471,6.17729198957481,0.000358669265642068,0.0284729471179764,0.0250096155558081,"CCND1/MET/LEF1/CCNB1",4
"R-HSA-69206","G1/S Transition","10/200","131/9550",0.0763358778625954,3.64503816793893,4.45813619291954,0.000414382633634002,0.0284729471179764,0.0250096155558081,"CDK4/E2F5/CCND1/MCM10/MYC/CDC45/RRM2/CKS1B/CCNB1/CCNA2",10
